Action Name, Timestamp
showVenues, 2021-04-28 22:50:17
removeVenue, 2021-04-28 22:50:17
showVenues, 2021-04-28 22:50:17
addVenue, 2021-04-28 22:50:17
addVenue, 2021-04-28 22:50:17
addVenue, 2021-04-28 22:50:17
showVenues, 2021-04-28 22:50:17
register, 2021-04-28 22:50:17
signIn, 2021-04-28 22:50:17
addEvent, 2021-04-28 22:50:40
addEvent, 2021-04-28 22:50:40
addEmployee, 2021-04-28 22:50:40
addEmployee, 2021-04-28 22:50:40
addEvent, 2021-04-28 22:50:40
showEvents, 2021-04-28 22:50:40
searchEvents, 2021-04-28 22:50:40
searchEvents, 2021-04-28 22:50:40
searchEvents, 2021-04-28 22:50:40
showEmployees, 2021-04-28 22:50:40
logOff, 2021-04-28 22:50:40
register, 2021-04-28 22:50:40
signIn, 2021-04-28 22:50:40
changeCreditCard, 2021-04-28 22:52:22
showUsers, 2021-04-28 22:52:22
addOrder, 2021-04-28 22:52:22
addOrder, 2021-04-28 22:52:22
viewHistory, 2021-04-28 22:52:22
deleteTicket, 2021-04-28 22:52:22
changeTicket, 2021-04-28 22:52:22
viewHistory, 2021-04-28 22:52:22
viewCalendar, 2021-04-28 22:52:22
logOff, 2021-04-28 22:52:22
signIn, 2021-04-28 22:52:22
addOrder, 2021-04-28 22:54:46
logOff, 2021-04-28 22:54:46
showOrders, 2021-04-28 22:54:46
getOrdersbyPriceRange, 2021-04-28 22:54:46
showVenues, 2021-04-28 22:55:18
removeVenue, 2021-04-28 22:55:18
showVenues, 2021-04-28 22:55:18
addVenue, 2021-04-28 22:55:18
addVenue, 2021-04-28 22:55:18
addVenue, 2021-04-28 22:55:18
showVenues, 2021-04-28 22:55:18
register, 2021-04-28 22:55:18
register, 2021-04-28 22:55:18
signIn, 2021-04-28 22:55:18
addOrder, 2021-04-28 22:57:24
logOff, 2021-04-28 22:57:24
showOrders, 2021-04-28 22:57:24
getOrdersbyPriceRange, 2021-04-28 22:57:24
showVenues, 2021-04-28 23:09:31
removeVenue, 2021-04-28 23:09:31
showVenues, 2021-04-28 23:09:31
addVenue, 2021-04-28 23:09:31
addVenue, 2021-04-28 23:09:31
addVenue, 2021-04-28 23:09:31
showVenues, 2021-04-28 23:09:31
register, 2021-04-28 23:09:31
signIn, 2021-04-28 23:09:31
addEvent, 2021-04-28 23:10:12
addEvent, 2021-04-28 23:10:12
addEmployee, 2021-04-28 23:10:12
addEmployee, 2021-04-28 23:10:12
addEvent, 2021-04-28 23:10:12
showEvents, 2021-04-28 23:10:12
searchEvents, 2021-04-28 23:10:12
searchEvents, 2021-04-28 23:10:12
searchEvents, 2021-04-28 23:10:12
showEmployees, 2021-04-28 23:10:12
logOff, 2021-04-28 23:10:12
register, 2021-04-28 23:10:12
signIn, 2021-04-28 23:10:12
changeCreditCard, 2021-04-28 23:11:18
showUsers, 2021-04-28 23:11:18
addOrder, 2021-04-28 23:11:18
addOrder, 2021-04-28 23:11:18
viewHistory, 2021-04-28 23:11:18
deleteTicket, 2021-04-28 23:11:18
changeTicket, 2021-04-28 23:11:18
viewHistory, 2021-04-28 23:11:18
viewCalendar, 2021-04-28 23:11:18
logOff, 2021-04-28 23:11:18
signIn, 2021-04-28 23:11:18
addOrder, 2021-04-28 23:12:52
logOff, 2021-04-28 23:12:52
showOrders, 2021-04-28 23:12:52
getOrdersbyPriceRange, 2021-04-28 23:12:52
